	yes
administered_to	1.4465559059912658
administration	-1.0231561340336937
admit	-0.235851470182748
adopt	-1.7057403250895722
adopted	-0.46388113330151387
adoption_mr	-0.6286201041935474
adoption_of	0.6623206851341905
adoption_of_the	0.09970672201740753
adverse_report_of	0.06551903413640198
advice	-0.1498905074056127
affirmative	1.0317988684624801
affirmative_the	0.3128738282762596
africa	-0.22710957148554872
after	-2.4070533161227368
after_having_spoken	0.31189414198186444
after_the	-0.8480829120542155
again	-0.5369360537679301
again_expired	0.39117402442333565
again_read	0.4091734793897821
against	-1.8139547160945988
against_the	-0.9164844075953092
against_the_amendment	0.8030675000266074
agencies	-0.31273443094474385
agency	-0.09525089722736321
ago	-1.5060425434508367
agree	0.07002249602984463
agree_to	0.2390450819795546
agree_with	0.43469507474458075
agree_with_the	0.19894553775613827
agreeable	2.204792199125906
agreeable_to_me	0.1261579707768553
agreed	0.019788069997134262
agreed_to	1.252811281601712
agreed_to_en	-0.1490254631640738
agreed_to_the	-1.2111839847145682
agreeing_to	1.5107909240151307
agreeing_to_the	0.4277032680040126
agreement	-2.1567773536743586
agricultural	-1.0608455982657223
agriculture	-1.1166782151831627
aid	-1.941719820259282
aims	-1.2133312637597542
aind	-1.1195516800677923
air	-2.3745286633085603
al	-3.5002593572240293
alabama	-0.7121088741158764
alabama_the	-0.023054001744817518
alaska	-1.948961126608472
alaska_the	-1.3572459978162625
alexander	-3.3431593207291592
alfredo	-0.7419658872435313
alias	-4.152281889099355
alison	-0.19823004037352504
all	-1.0002028486051353
all_amendments_thereto	2.434712438259676
all_committees	1.5885299302677314
all_of	-0.09686390796152428
all_other	-1.7131203504041195
all_points	1.6156488141488372
all_points_of	1.0239980810282792
all_registrations	0.4023518462386446
all_registrations_and	1.049489803391885
all_right	2.191901839719174
all_senators	0.7462714734666198
all_the	-1.7136177604655787
all_time	1.5150459534644654
allen	-1.1184827602328054
allocation	-0.10958832952422962
allow	-0.12222030024121837
allow_me	2.5551709871396717
allowed_under	0.8525163701498228
almost	-0.8158554575086048
along	-1.973367965827209
already	-1.6234176342353714
also	-2.2852298355386087
also_the_following	1.276919953089971
alternative	-0.003252414467081813
although	-2.6697756343264363
although_i	-0.4887565802242175
always	-2.299453478810268
am	0.11810046142839097
am_glad_to	0.5556266764930897
am_happy_to	0.3833197983850837
am_in	0.16870384529601098
am_not	0.051810308907177804
am_opposed	0.15069233732888102
am_paired_with	1.0253297638042829
am_pleased	-0.02218020397412002
am_prepared	0.027424837807371264
amend	-1.9236558576274099
amended_be	-2.5999887114170326
amendment	0.543751973200428
amendment_and	-1.5554071174460773
amendment_as	-1.4233281940805744
amendment_as_amended	-0.035083410652349795
amendment_by	-1.8496043535891056
amendment_does	-0.06751260972444444
amendment_for	-0.38217764156859835
amendment_has_been	1.0399139819910783
amendment_i	-3.9345426695552925
amendment_if	-0.24853968989563494
amendment_if_there	-3.309496795236666
amendment_it	-1.4697106233315869
amendment_mr	-4.888161578558645
amendment_mr_chairman	-1.3742674118728626
amendment_no	-5.009465351213784
amendment_of	-0.9199722951538496
amendment_of_the	-0.06741071727070713
amendment_offered	-0.040315372315291836
amendment_offered_by	-0.08613121815523578
amendment_on	-1.0380741138545824
amendment_ordered	-1.2235649211952557
amendment_ordered_to	-1.3823375438682715
amendment_pending	1.4233976612739625
amendment_printed_in	0.16910897203529984
amendment_that	-1.8059970483832009
amendment_that_it	0.16762483557635688
amendment_the	-1.236241175948991
amendment_to	-1.3834672871455023
amendment_to_be	-0.5523013768661239
amendment_to_the	0.2147133797520196
amendment_was	-0.003641843228134393
amendment_was_rejected	0.3333695716641496
amendment_which	-0.88152386796971
amendment_will_be	-0.34198126934258744
amendment_would	-2.145152397285302
amendments	-0.06677196198626278
amendments_i	-0.5539747673669019
amendments_the	-1.2699687344849107
amendments_to	0.16767803169823167
